3,2,0,0,0,2,2,2,6,12,0,0,0,0,4,2,2,0,0,0,0,4,4,8,6,6,2,2,4,0,4,0
3,0,0,0,0,0,2,2,0,2,0,12,0,4,12,0,0,2,6,2,4,4,4,12,8,4,6,2,4,0,0,0
3,0,0,32,0,24,0,2,0,6,0,32,0,0,2,2,0,8,2,6,4,0,16,0,6,4,8,2,6,0,0,0
3,0,2,0,2,0,0,0,0,6,0,4,0,0,4,0,0,4,0,0,0,0,10,0,22,0,0,0,2,0,0,0
3,0,2,54,4,2,0,0,0,16,2,16,0,0,4,0,0,6,2,0,0,0,0,0,8,12,2,0,2,0,10,0
3,0,2,38,4,0,0,2,2,10,0,6,0,2,0,6,2,6,2,4,0,0,0,0,0,8,6,0,10,0,0,0
3,4,2,0,0,2,0,0,0,10,2,16,0,0,0,2,0,4,0,0,6,0,0,0,12,6,0,0,18,0,0,0
3,0,0,8,2,0,0,2,4,22,0,10,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,2,4,0,6,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,8,0,26,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,6,0,0,0,0,0
3,0,0,0,2,0,0,4,4,8,2,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,2,0,6,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,2,6,4,6,0,16,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2,4,0,4,0,4,2,12,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2,6,0,0,0,10,2,8,0,2,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,18,0,0,2,0,0,0,0,0,0,2,2,0,8,0,0,0,0,2,10,2,0,0,6,0,0,0
4,0,0,0,0,8,0,2,14,2,0,0,0,0,6,2,0,6,4,0,0,0,6,4,14,4,0,0,6,2,2,0
4,0,0,0,0,10,0,0,4,0,0,0,0,0,12,0,0,6,6,0,0,2,10,4,2,6,0,0,0,0,0,0
4,0,0,0,4,4,0,2,0,6,0,0,0,0,4,2,0,8,0,2,2,0,6,14,16,6,2,0,4,0,0,0
4,2,0,0,0,10,0,0,6,6,0,0,0,0,0,0,0,8,6,0,2,0,10,8,14,18,0,0,2,6,2,0
4,0,0,22,2,10,0,0,4,4,0,4,0,0,2,0,0,4,0,0,0,0,6,6,4,0,0,0,8,2,0,0
4,2,0,0,0,0,0,2,14,4,0,2,0,2,2,0,2,8,2,0,0,0,4,8,6,6,10,0,2,0,0,0
4,0,0,50,2,0,0,0,6,20,0,2,0,0,8,0,0,12,2,2,14,4,6,2,16,8,2,0,6,0,0,0
4,2,0,0,6,12,2,4,2,6,0,0,0,0,2,0,4,8,0,0,6,0,14,0,16,10,10,0,8,2,4,0
4,4,2,48,2,4,0,2,8,2,2,8,0,0,4,0,0,6,0,2,0,0,20,0,8,2,2,0,8,2,28,0
4,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,14,2,0,0,2,12,0,8,6,2,0,8,0,0,0
4,2,2,18,0,2,0,4,10,4,0,8,0,0,8,0,0,4,0,2,0,0,0,0,10,10,6,0,4,0,0,0
4,0,4,0,2,12,2,2,0,14,0,4,0,4,24,0,2,8,0,0,0,0,0,0,0,0,6,0,0,2,0,0
4,0,0,0,2,4,0,2,2,6,0,12,6,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,2,0,0
4,0,0,0,2,0,0,4,2,10,0,0,0,2,14,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0
4,0,0,0,2,6,0,2,16,4,0,12,0,0,12,2,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,0,0,0,2,2,0,4,0,8,2,6,0,0,10,2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,2,10,4,0,0,2,4,6,0,0,6,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,4,6,2,0,0,10,2,6,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,10,8,4,0,0,12,0,10,0,0,20,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,4,8,0,0,8,4,0,0,0,0,0,2,2,2,2,0,4,0,6,6,8,18,12,0,14,2,0,0
5,0,0,0,0,12,2,0,2,2,0,0,0,0,0,2,2,2,0,0,6,0,2,6,4,28,0,0,6,12,0,0
5,0,0,0,0,8,0,0,4,4,0,0,0,4,0,0,0,16,0,4,4,0,4,8,6,16,6,0,4,0,0,2
5,0,0,40,0,12,0,2,4,0,0,4,0,0,0,0,0,4,4,2,4,0,8,6,0,10,2,0,6,0,0,2
5,0,0,0,0,8,2,0,6,14,0,0,0,0,0,0,0,6,4,2,0,4,0,4,2,30,2,0,14,0,2,0
5,0,0,0,0,6,0,0,2,6,0,0,2,0,0,2,0,6,0,0,10,4,2,4,2,14,6,0,4,12,2,2
5,2,0,0,0,12,0,0,2,0,2,2,0,2,0,0,0,2,2,0,2,0,12,4,2,18,6,0,14,0,6,0
5,2,0,0,8,4,0,2,2,4,0,0,0,8,18,2,4,4,4,0,6,0,0,4,6,30,2,0,16,16,2,4
5,0,0,78,2,6,0,0,2,6,0,0,0,2,8,0,0,4,0,0,6,0,2,0,14,28,2,0,4,0,2,0
5,0,0,0,6,22,0,2,2,4,0,0,0,0,0,0,2,8,2,0,10,0,2,0,2,32,6,0,8,6,0,0
5,2,2,0,0,4,0,2,0,6,0,0,0,2,0,0,4,6,2,0,4,0,18,0,12,12,0,0,20,6,0,0
5,0,0,0,6,0,0,0,20,4,0,2,0,0,2,0,10,4,0,0,2,0,10,0,6,32,8,0,8,0,2,0
5,0,0,0,2,6,0,2,4,6,4,0,0,4,4,0,2,8,0,0,0,0,0,0,0,0,8,0,0,0,2,0
5,0,0,0,0,2,4,2,4,8,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,2,0,0,0,0
5,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0
5,0,0,0,4,0,2,2,14,2,0,6,0,0,16,0,0,6,0,0,0,2,0,0,0,0,4,0,0,0,0,0
5,0,0,0,2,2,0,4,0,16,2,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,4,14,0,6,0,6,0,8,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2,12,0,0,0,8,0,2,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,2,24,0,2,0,14,0,2,0,0,26,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,0,2,12,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,6,6,16,2,2,0,18,0,0,2
6,0,2,0,0,10,0,2,12,4,0,0,0,6,18,0,2,0,0,0,0,4,6,4,4,0,0,0,10,4,0,0
6,0,2,0,0,14,0,0,4,6,0,0,0,0,0,0,0,2,0,2,0,0,2,2,8,2,6,0,4,0,0,0
6,0,0,44,0,2,0,0,20,14,0,2,0,0,0,2,0,0,0,0,0,0,6,2,6,14,2,0,4,0,0,2
6,0,0,0,0,10,0,2,2,4,0,0,0,14,0,2,0,2,0,0,0,10,4,16,6,6,12,0,4,4,0,0
6,0,0,44,0,6,4,0,6,4,0,0,0,8,0,0,4,2,2,0,0,2,2,12,8,8,6,0,10,8,0,2
6,0,0,0,2,0,2,0,4,4,0,8,0,4,20,0,0,8,0,0,2,0,10,6,8,20,22,0,4,0,0,0
6,0,0,2,0,0,0,2,4,6,0,4,0,6,0,6,0,0,0,4,2,2,12,6,4,6,10,0,14,0,10,0
6,0,0,0,0,4,0,0,0,6,0,0,0,4,2,0,0,6,0,0,0,0,10,0,2,6,12,0,12,4,10,2
6,2,0,0,0,10,0,0,12,14,0,2,0,0,0,4,0,10,4,2,0,8,10,0,0,16,8,0,4,8,14,2
6,0,2,0,2,16,4,2,8,8,0,2,0,0,0,12,2,0,2,0,4,2,6,0,6,30,4,0,22,2,0,0
6,4,4,30,0,4,0,0,6,2,0,0,0,12,0,4,2,4,0,2,0,0,18,0,10,18,16,0,12,2,0,0
6,6,2,0,2,6,0,4,0,16,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,8,0,0,6,0,0
6,2,0,0,6,8,2,2,6,6,0,0,0,0,16,0,0,10,0,0,0,0,0,0,0,0,6,2,0,2,0,0
6,0,0,0,0,10,0,2,2,14,2,2,0,0,0,2,0,6,0,0,0,4,0,0,0,0,4,2,0,0,0,0
6,0,0,0,6,6,0,0,10,6,4,0,0,0,14,0,0,6,0,0,0,14,0,0,0,0,4,0,0,0,0,0
6,0,0,0,4,4,0,4,0,14,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,6,0,2,0,10,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,2,6,4,0,0,8,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,6,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,6,0,20,0,0,10,0,0,0,0,0,0,0,0,4,0,2,0,0,6,2,4,0,6,2,4,2,0,4
7,0,0,0,2,28,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,8,2,0,6,0,4,4,0,4
7,0,0,20,0,14,0,0,8,24,0,0,0,0,2,0,2,4,0,0,0,0,2,0,12,2,4,0,6,0,2,2
7,0,0,28,2,12,0,0,6,2,0,0,0,2,0,0,0,4,2,0,0,0,4,10,12,4,12,0,12,8,0,0
7,2,0,0,2,12,0,6,6,10,8,0,0,2,0,0,2,12,2,2,0,2,14,0,14,6,30,0,6,8,2,0
7,0,0,0,0,12,0,0,12,2,0,0,0,4,0,4,0,6,0,0,0,2,6,6,2,4,10,0,6,4,2,2
7,0,0,22,6,12,0,2,10,8,0,0,0,4,0,2,0,12,0,0,0,0,2,2,0,2,4,0,4,0,6,0
7,4,0,22,0,8,0,2,16,6,0,0,0,0,0,4,0,22,0,0,0,0,4,2,6,4,2,0,4,6,4,0
7,0,8,0,0,24,0,2,4,4,0,6,0,0,0,4,0,6,0,0,0,0,0,0,6,8,14,0,2,0,4,0
7,6,0,10,0,2,0,4,2,6,0,0,0,0,0,2,2,10,2,0,0,0,14,0,10,4,8,0,2,6,6,4
7,0,0,0,0,0,0,0,4,14,0,10,0,4,0,12,2,0,0,0,2,0,2,0,4,14,12,2,14,4,2,0
7,0,0,0,4,4,0,0,4,14,6,2,0,0,0,4,2,6,4,0,0,2,2,0,0,0,4,0,6,4,2,0
7,0,4,0,4,0,2,4,8,6,0,0,0,0,2,8,2,20,0,0,0,0,0,0,0,0,16,0,0,4,0,0
7,0,0,0,4,16,0,8,4,12,0,4,0,0,6,0,0,12,0,0,0,8,0,0,0,0,14,0,0,0,0,0
7,2,0,0,0,6,0,10,2,10,2,6,0,4,0,0,0,10,0,0,0,2,0,0,0,0,4,0,0,2,0,0
7,0,0,0,2,14,0,4,16,16,2,8,0,2,0,2,2,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,16,0,0,14,38,10,0,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,10,4,4,0,12,0,2,2,8,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,14,12,0,0,0,20,0,4,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,8,4,2,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,6,22,0,0,22,6,0,0,0,0,0,2,4,0,2,2,0,2,12,4,0,0,12,0,14,2,0,2
8,0,0,14,4,10,0,0,12,8,0,0,0,0,0,0,10,6,0,2,0,2,10,8,12,2,4,0,6,0,0,0
8,0,4,14,6,14,0,4,16,0,0,2,0,0,0,0,0,8,0,0,0,0,4,8,6,8,12,0,0,0,0,4
8,0,2,2,0,10,0,0,6,2,0,6,0,0,0,2,4,2,0,2,0,2,6,2,6,2,0,0,12,2,0,0
8,2,0,14,0,8,0,0,4,4,0,4,0,0,0,4,2,4,0,2,0,0,10,8,4,4,6,0,4,0,0,2
8,0,0,46,0,4,0,2,8,2,0,0,0,0,2,2,10,4,0,0,0,0,12,8,8,20,14,0,4,0,0,0
8,0,0,56,2,2,0,0,0,0,2,8,0,0,0,4,2,4,0,0,0,0,2,8,10,4,6,0,4,6,0,0
8,0,0,20,2,2,0,4,6,0,0,6,0,0,0,4,0,4,0,0,0,0,10,2,6,20,2,2,12,2,0,0
8,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,2,0,0,2,2,12,0,6,40,2,0,4,0,0,0
8,0,0,22,2,6,0,0,6,8,0,8,0,0,0,0,0,16,0,0,0,0,12,0,2,6,12,0,18,0,6,2
8,6,2,0,2,2,2,0,2,2,0,6,0,0,0,4,0,6,0,2,0,0,6,0,4,14,0,0,8,2,2,0
8,0,0,26,0,4,0,0,12,2,2,2,0,4,0,0,2,8,0,0,2,4,0,0,18,10,18,0,20,0,0,0
8,0,0,0,4,4,0,2,12,8,0,22,0,0,2,2,4,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0
8,0,2,0,0,4,0,0,6,10,0,0,0,10,0,2,0,4,0,0,0,0,0,0,0,0,10,0,0,2,0,0
8,0,0,0,2,0,0,2,2,6,0,12,0,2,0,2,2,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0
8,0,0,0,12,6,0,2,16,2,0,4,0,0,0,4,10,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,0,0,0,6,8,2,12,0,10,0,0,0,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,8,6,0,2,0,6,2,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,2,10,0,2,0,16,2,10,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,10,0,0,0,8,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,26,2,18,0,0,8,6,0,0,0,0,0,0,0,4,4,0,0,4,2,4,2,8,4,0,12,2,0,0
9,0,0,50,2,6,0,0,20,8,0,0,0,0,0,4,0,0,2,0,2,0,8,6,4,0,6,0,6,2,2,0
9,0,0,44,0,12,0,2,12,4,0,0,0,0,10,0,0,4,0,4,0,2,6,0,6,6,0,0,24,2,4,0
9,0,0,34,0,12,0,6,6,4,0,2,0,0,0,4,0,0,2,0,0,0,8,0,20,0,2,0,6,0,0,2
9,0,0,36,0,16,2,0,0,12,0,6,0,0,2,10,0,4,0,4,0,2,4,8,4,2,0,0,22,2,0,2
9,0,0,0,4,6,0,0,6,12,2,10,0,0,0,10,0,4,0,0,0,6,6,10,8,4,8,0,18,2,0,0
9,0,2,50,2,4,2,0,6,8,0,2,0,10,6,4,0,4,4,2,2,0,2,8,14,2,8,0,12,6,6,2
9,0,2,36,4,10,0,0,14,2,2,0,0,2,0,0,0,2,0,0,0,2,2,4,6,14,0,0,0,2,2,0
9,0,4,20,2,8,0,2,8,2,4,6,0,0,0,8,0,12,0,2,0,2,12,6,12,0,0,2,18,0,6,0
9,0,2,14,0,20,0,2,2,10,2,4,0,0,0,0,0,8,4,0,2,0,4,0,4,34,6,0,12,0,2,0
9,0,0,10,0,14,0,0,0,8,0,10,0,0,8,6,0,6,0,0,0,0,16,0,4,8,8,0,14,8,0,0
9,0,0,14,0,14,2,2,10,8,0,0,0,0,4,2,6,4,0,0,0,2,8,0,2,6,0,0,6,6,2,0
9,0,0,0,0,8,0,0,4,18,2,20,0,0,0,2,0,8,0,0,0,2,0,0,0,0,2,0,0,4,0,0
9,0,0,0,0,4,0,2,12,6,2,2,0,0,12,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9,2,2,0,0,6,6,4,0,4,6,10,0,0,0,8,0,2,0,0,0,2,0,0,0,0,6,0,0,2,0,0
9,0,0,0,0,6,0,0,4,6,0,10,0,2,6,2,0,12,0,0,0,2,0,0,0,0,0,4,0,0,0,0
9,0,0,0,4,12,2,0,0,4,2,12,0,2,4,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,2,12,0,0,0,0,2,16,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,4,14,0,0,0,8,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,12,0,0,0,32,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
