0,0,18,0,14,0,2,14,10,0,0,0,2,0,2,4,8,2,2,0,0,4,2,0,14,10,2,22,4,4,0
0,0,4,0,26,0,2,10,8,0,0,0,2,8,2,6,0,0,0,0,2,6,8,8,10,10,0,24,8,8,0
0,0,8,6,32,0,0,6,2,0,0,0,2,0,6,0,8,4,2,0,0,4,4,12,8,8,0,14,10,2,0
4,0,0,2,38,0,0,2,4,0,0,0,4,0,0,4,2,0,0,0,6,4,6,6,8,14,2,16,14,8,4
0,0,20,0,38,0,0,2,4,0,6,0,0,10,10,8,2,0,8,2,0,8,6,16,10,14,4,8,8,18,0
0,0,24,2,46,0,2,0,6,0,10,0,6,8,0,0,0,0,0,0,2,10,2,10,14,14,2,12,8,20,0
2,0,68,0,38,0,4,2,16,0,14,0,2,0,2,0,0,0,0,2,0,4,2,6,14,18,4,16,24,10,0
0,0,26,0,44,0,2,0,4,0,14,2,2,6,2,0,2,2,2,0,0,12,2,12,28,16,2,12,28,26,0
2,0,70,4,54,0,4,6,8,0,8,0,0,8,6,4,12,0,2,0,0,6,0,4,30,16,2,12,10,8,0
0,0,66,0,48,0,0,6,8,2,12,0,2,8,6,2,0,2,0,0,10,14,0,4,20,14,0,24,8,16,0
10,2,42,4,42,0,2,8,4,0,12,0,12,2,2,2,10,0,0,0,4,8,0,10,26,12,0,16,12,10,0
0,2,28,0,24,2,0,0,10,0,16,0,6,0,0,2,6,2,0,0,2,0,0,6,22,10,2,6,18,26,2
0,0,46,2,54,0,0,6,12,0,10,4,4,0,2,6,2,0,0,0,6,0,0,0,0,4,0,0,6,0,0
0,0,16,2,38,2,2,0,18,2,8,0,14,32,4,0,14,0,0,0,2,0,0,0,0,26,0,0,0,0,0
0,0,16,0,40,2,4,2,22,0,14,0,2,0,6,4,6,0,0,0,2,0,0,0,0,10,4,0,2,0,0
2,0,18,6,56,2,0,6,14,4,12,0,6,0,6,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,2,12,14,2,4,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,64,0,2,0,6,2,8,4,8,10,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,6,0,20,4,6,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,4,6,0,16,0,12,2,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,34,0,0,10,0,0,0,0,4,0,0,8,0,4,0,0,2,2,0,8,4,16,0,6,4,2,0
0,0,18,0,34,0,4,6,0,0,0,0,12,0,0,4,6,0,2,0,2,0,6,10,12,2,0,4,18,2,0
0,0,28,2,50,4,2,10,4,0,0,0,10,6,10,0,2,4,2,4,0,4,0,10,18,12,2,20,8,0,2
0,0,22,0,34,0,6,12,4,0,6,0,4,30,6,0,4,2,0,0,2,4,2,16,6,2,0,6,6,0,0
0,4,0,4,48,0,12,4,2,0,10,0,4,0,4,0,2,4,0,0,2,0,6,8,6,10,4,8,14,4,0
4,0,16,8,50,0,2,4,4,0,14,0,6,0,2,0,0,0,2,0,4,8,12,0,8,4,0,10,22,6,2
0,0,0,4,42,6,10,2,0,0,14,0,14,24,2,0,0,0,0,0,10,4,0,12,22,4,2,8,6,10,2
0,2,0,2,48,0,2,0,2,0,2,0,10,0,0,0,0,0,6,2,0,8,6,18,22,10,0,10,14,6,2
0,0,36,0,64,8,2,4,0,8,10,10,6,8,2,0,8,0,2,0,8,0,0,6,22,0,0,10,10,20,0
4,0,10,0,66,0,4,4,8,0,8,0,8,2,2,2,0,0,4,0,0,22,0,0,40,8,2,8,12,8,0
2,0,24,2,46,0,8,12,16,0,16,2,0,10,2,4,10,0,0,0,4,6,0,16,14,10,0,18,8,6,0
2,0,0,2,68,0,8,2,20,0,0,0,14,4,2,0,10,0,0,0,16,10,0,6,10,14,2,14,6,10,2
0,2,34,6,56,2,2,6,2,0,14,0,4,2,6,0,8,0,0,0,4,0,0,0,0,8,0,0,2,0,0
